Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
25708,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2000,81.2,
25709,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2001,62,
25711,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2003,63.3,
25712,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2004,70.6,
25713,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2005,56.4,
25715,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2007,61.3,
25716,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,1998,114.2,
25717,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,1999,150.9,
25718,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2000,144.1,
25719,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2001,143.9,
25721,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2003,185.1,
25722,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2004,147.4,
25723,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2005,110.4,
25725,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2007,138.5,
25726,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,1998,151.3,
25727,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,1999,215,
25728,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2000,150.6,
25729,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2001,155.6,
25731,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2003,174.6,
25732,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2004,185.1,
25733,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2005,150.8,
25735,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2007,160,
